apellido,nombre,titulo,genero,tema,recomendado,calificacion,codigo,editorial,disponible,zona
ANÓNIMO,—,LA VIDA DE ESTEBANILLO CONZÁLEZ,NOVELA,CLÁSICA,,L-A1,03-ANO-VID,AUSTRAL,True,General
ANÓNIMO,—,LAZARILLO DE TORMES,NOVELA,CLÁSICA,,L-A1,03-ANO-LAZ,SALVAT,True,General
ANÓNIMO,—,LAZARILLO DE TORMES,NOVELA,CLÁSICA,,L-A2,03-ANO-LAZ,CÁTEDRA,True,General
ANÓNIMO,—,LIBRO DE ALEXANDRE,NOVELA,CLÁSICA,,L-A1,12-ANO-LIB,CÁTEDRA,True,General
ANÓNIMO,—,LIBRO DE APOLONIO,POESÍA,—,,L-A1,12-ANO-LIB,CÁTEDRA,True,General
ANÓNIMO,—,LIBRO DE CABALLERO ZIFAR,POESÍA,—,,L-A1,12-ANO-CAB,CÁTEDRA,True,General
ANÓNIMO,—,POEMA DE FERNÁN GONZÁLEZ,POESÍA,—,,L-A1,12-ANO-POE,CÁTEDRA,True,General
ANÓNIMO,—,SIR GAWAIN Y EL CABALLERO VERDE,NOVELA,FANTÁSTICA/CIENCIA FICCIÓN,,L-A1,05-ANO-SIR,ALIANZA,True,General
ANSÓN,FERNANDO,FERNANDO III. REY DE CASTILLA Y LEÓN.,ENSAYO,HISTORIA,,P-A2,16-ANS-FER,PALABRA,True,General
APPELFELD,AHARON,VÍA FÉRREA,NOVELA,BÉLICA,,—,02-APP-VIA,LOSADA,True,General
ARAGÓN BERMÚDEZ,EMILIO,MIENTRAS DUERMEN LOS MURCIÉLAGOS,NOVELA,BÉLICA,,—,02-ARA-MIE,PLANETA,True,General
ARAMBURU,FERNANDO,PATRIA,NOVELA,DRAMA,●,L-C1,22-ARA-PAT,TUSQUETS,True,General
ARANGUREN,JAVIER,¿PUEDO ESTAR SEGURO DE ALGO?,ENSAYO,FILOSOFÍA,,P-A1,13-ARA-PUE,DECLÉE DE BROUWER,True,General
ARANGUREN,JAVIER,LO QUE PESA EL HUMO,ENSAYO,FILOSOFÍA,,P-A1,13-ARA-LOQ,RIALP,True,General
ARANGUREN,JAVIER,VOCES FILOSÓFICAS,ENSAYO,FILOSOFÍA,●,P-A1,13-ARA-VOC,UMELIA,True,General
ARANGUREN,MIGUEL,CUANDO EL OTOÑO SE LEVANTA,NOVELA,AVENTURAS,,L-A1,01-ARA-CUA,BELACQUA,True,General
ARANGUREN,MIGUEL,DESDE UN TREN AFRICANO,NOVELA,AVENTURAS,,L-A1,01-ARA-DES,ESPASA,True,General
ARANGUREN,MIGUEL,EL MIRADOR DEL VALLE,NOVELA,AVENTURAS,,L-A1,01-ARA-MIR,TEMPO,True,General
ARCHER,JEFFREY,EL UNDÉCIMO MANDAMIENTO,NOVELA,NEGRA,,L-A2,08-ARC-UND,GRIJALBO,True,General
ARCHER,JEFFREY,JUEGO DE DESTINOS,NOVELA,BÉLICA,,—,02-ARC-JUE,GUSTAVO GILI,True,General
ARCIPRESTE DE HITA,JUAN RUIZ,LIBRO DEL ARCIPRESTE O DEL BUEN AMOR,NOVELA,CLÁSICA,,L-B1,12-ARC-LIB,AUSTRAL,True,General
AREÁN,CARLOS,CULTURA AUTOCTONA HISPANA,ENSAYO,HISTORIA,,P-A1,16-ARE-CUL,NUC,True,General
ARELLANO,IGNACIO,EL JARDÍN DE LOS CLÁSICOS,ENSAYO,ARTE,,—,15-ARE-JAR,EUNSA,True,General
ARGUIJO,PAULINO,TOLKIEN,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,P-A1,20-ARG-TOL,PALABRA,True,General
ARIOSTO,LUDOVICO,ORLANDO FURIOSO. VOLUMEN I,NOVELA,CLÁSICA,,L-A1,12-ARI-OR1,CÁTEDRA,True,General
ARIOSTO,LUDOVICO,ORLANDO FURIOSO. VOLUMEN II,NOVELA,CLÁSICA,,L-A1,12-ARI-OR2,CÁTEDRA,True,General
ARISTÓFANES,—,COMEDIA I,TEATRO,—,●,L-A2,12-ARI-COM,GREDOS,True,General
ARISTÓTELES,—,ÉTICA A NICÓMACO,ENSAYO,FILOSOFÍA,●,P-A1,13-ARI-ETI,ALIANZA,True,General
ARRIAGA,EMILIANO,LA PASTELERÍA,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,—,12-ARR-PAS,MUELLE DE URIBITARTE,True,General
ARROYO,RAYMOIND,MADRE ANGÉLICA,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,P-B1,20-ARR-MAD,PALABRA,True,General
ASHLEY,MICHAEL,LOS MEJORES RELATOS DE CIENCIA FICCIÓN. LA ERA DEL CAMBIO 1956-1965,NOVELA,FANTASÍA/CIENCIA FICCIÓN,,—,05-ASH-MEJ,MARTÍNEZ ROCA,True,General
ASIMOV,ISAAC,LOS LÍMITES DE LA FUNDACIÓN,NOVELA,FANTASÍA/CIENCIA FICCIÓN,●,L-B1,05-ASI-LIM,PLAZA & JANÉS,True,General
ASIMOV,ISAAC,"YO, ROBOT",NOVELA,FANTASÍA/CIENCIA FICCIÓN,●,L-B1,05-ASI-YOR,EDHASA,True,General
ASIMOV,ISAAC,"YO, ROBOT",NOVELA,FANTASÍA/CIENCIA FICCIÓN,,L-A2,05-ASI-YOR,EDHASA,True,General
ATXAGA,BERNARDO,LISTA DE LOCOS Y OTROS ALFABETOS,ENSAYO,PEDAGOGÍA/CIENCIA,●,P-B2,22-ATX-LIS,SIRUELA,True,General
ATXAGA,BERNARDO,OBABAKOAK,NOVELA,FANTASÍA/CIENCIA FICCIÓN,●,L-B1,05-ATX-OBA,EDICIONES B,True,General
ATXAGA,BERNARDO,UN ESPÍA LLAMADO SARA,NOVELA,HISTÓRICA,,L-A1,06-ATX-ESP,ACENTO,True,General
AUGUSTIN,ERNST,EL SUEÑO AMERICANO,NOVELA,BÉLICA,,L-A2,02-AUG-SUE,SEIX BARRAL,True,General
AUSTEN,JANE,EMMA,NOVELA,DRAMA,,L-A1,04-AUS-EMM,DEBOLSILLO,True,General
AUSTEN,JANE,ORGULLO Y PREJUICIO,NOVELA,DRAMA,●,L-A2,04-AUS-ORG,PLAZA & JANÉS,True,General
AUSTEN,JANE,PERSUASIÓN,NOVELA,DRAMA,,L-A2,04-AUS-PER,PLAZA & JANÉS,True,General
AUSTER,PAUL,LA TRILOGÍA DE NUEVA YORK,NOVELA,DRAMA,,—,12-AUS-TRI,ANAGRAMA,True,General
AUSTER,PAUL,SMOKE & BLUE IN THE FACE,NOVELA,DRAMA,,L-A2,12-AUS-SMO,ANAGRAMA,True,General
"AUSTER, PAUL","MESSER, SAM",LA HISTORIA DE MI MÁQUINA DE ESCRIBIR,RELATO(S),—,●,L-A1,12-AUS-HIS,ANAGRAMA,True,General
AVELLANAR,GERTRUDIS,BALTASAR,TEATRO,—,,L-A2,11-AVE-BAL,ANAYA,True,General
AYESTA,JULIÁN,HELENA O EL MAR DEL VERANO,NOVELA,DRAMA,●,L-B1,12-AYE-HEL,ACANTILADO,True,General
AYLLÓN,JOSÉ RAMÓN,10 ATEOS CAMBIARON DE AUTOBÚS,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,L-A1,20-AYL-DIE,PALABRA,True,General
AYLLÓN,JOSÉ RAMÓN,CIUDADANO CHESTERTON,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,L-A1,20-AYL-CIU,PALABRA,True,General
AYLLÓN,JOSÉ RAMÓN,DIOS Y LOS NÁUFRAGOS,ENSAYO,FILOSOFÍA,,P-A1,13-AYL-DIO,BELACQUA,True,General
AYLLÓN,JOSÉ RAMÓN,EN TORNO AL HOMBRE,ENSAYO,FILOSOFÍA,,P-A1,13-AYL-TOR,RIALP,True,General
AYLLÓN,JOSÉ RAMÓN,ÉTICA RAZONADA,ENSAYO,FILOSOFÍA,,P-A1,13-AYL-ETI,PALABRA,True,General
AYLLÓN,JOSÉ RAMÓN,FILOSOFÍA MÍNIMA,ENSAYO,FILOSOFÍA,●,P-A1,13-AYL-FIL,ARIEL,True,General
AYLLÓN,JOSÉ RAMÓN,LA BUENA VIDA,ENSAYO,FILOSOFÍA,,P-A1,13-AYL-BUE,MR,True,General
AYLLÓN,JOSÉ RAMÓN,QUERIDO BRUTO,NOVELA,HISTÓRICA,,L-A1,06-AYL-QUE,ACENTO,True,General
AZNAR,JOSÉ MARÍA,OCHO AÑOS DE GOBIERNO. UNA VISIÓN PERSONAL DE ESPAÑA,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,P-A2,20-AZN-OCH,PLANETA,True,General
AZNAR,JOSÉ MARÍA,RETRATOS Y PERFILES. DE FRAGA A BUSH,ENSAYO,POLÍTICA,,P-A2,17-AZN-RET,PLANETA,True,General
BACCALARIO,P. D.,LA VERDADERA HISTORIA DEL CAPITÁN GARFIO,NOVELA,AVENTURAS,,—,01-BAC-VER,LA GALERA,True,General
