apellido,nombre,titulo,genero,tema,recomendado,calificacion,codigo,editorial,disponible,zona
SIMENON,GEORGES,MAIGRET VIAJA,NOVELA,NEGRA,,L-A2,12-SIM-VIA,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y EL «GIGOLO»,NOVELA,NEGRA,,L-A2,12-SIM-GIG,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y EL ASESINO,NOVELA,NEGRA,,L-A2,12-SIM-ASE,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y EL CASO DEL MINISTRO,NOVELA,NEGRA,,L-A2,12-SIM-MIN,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y EL CASO NAHOUR,NOVELA,NEGRA,,L-A2,12-SIM-NAH,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y EL CLIENTE DEL SÁBADO,NOVELA,NEGRA,,L-B1,12-SIM-CLI,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y EL CONFIDENTE,NOVELA,NEGRA,,L-B1,12-SIM-CO2,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y EL EXTRAÑO VAGABUNDO,NOVELA,NEGRA,,L-A2,12-SIM-EXT,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y EL FALSO CULPABLE,NOVELA,NEGRA,,L-A2,12-SIM-FAL,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y EL HOMBRE DEL BANCO,NOVELA,NEGRA,,L-A2,12-SIM-HOM,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y EL HOMBRE SOLITARIO,NOVELA,NEGRA,,L-A2,12-SIM-SOL,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y EL INSPECTOR SIN SUERTE,NOVELA,NEGRA,,L-A2,12-SIM-SUE,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y EL LADRÓN PEREZOSO,NOVELA,NEGRA,,L-A2,12-SIM-LAD,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y EL PERRO CANELO,NOVELA,NEGRA,,L-A2,12-SIM-CAN,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y EL TERCER HOMBRE,NOVELA,NEGRA,,L-A2,12-SIM-TER,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y LA MUCHACHA ASESINADA,NOVELA,NEGRA,,L-A2,12-SIM-MUC,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y LAS BUENAS PERSONAS,NOVELA,NEGRA,,L-A2,12-SIM-BUE,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y LOS ANCIANOS,NOVELA,NEGRA,,L-B1,12-SIM-ANC,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y LOS CERDITOS SIN RABO,NOVELA,NEGRA,,L-A2,12-SIM-RAB,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y LOS MUERTOS DEL CANAL,NOVELA,NEGRA,,L-A2,12-SIM-CAN,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET Y LOS TESTIGOS RECALCITRANTES,NOVELA,NEGRA,,L-A2,12-SIM-TES,FORUM,True,Sala de Estar
SIMENON,GEORGES,"MAIGRET, LOGNON Y LOS GÁNGSTERS",NOVELA,NEGRA,,L-A2,12-SIM-LOG,FORUM,True,Sala de Estar
SIMENON,GEORGES,"STAN, EL ASESINO",NOVELA,NEGRA,,L-A2,12-SIM-STA,FORUM,True,Sala de Estar
SIMENON,GEORGES,UN CRIMEN EN HOLANDA,NOVELA,NEGRA,,L-A2,12-SIM-HOL,FORUM,True,Sala de Estar
SIMENON,GEORGES,UN FRACASO DE MAIGRET,NOVELA,NEGRA,,L-A2,12-SIM-FRA,FORUM,True,Sala de Estar
SIMENON,GEORGES,UNA CONFIDENCIA DE MAIGRET,NOVELA,NEGRA,,L-A2,12-SIM-CON,FORUM,True,Sala de Estar
SIMÓN,PEDRO,LOS INGRATOS,NOVELA,COSTUMBRISTA,,L-A2,4-SIM-ING,BOOKET,True,Pequeños
SIMONSON,HELEN,EL VERANO ANTES DE LA GUERRA,NOVELA,DRAMA,,L-A2,04-SIM-VER,SUMA,True,Pequeños
SINGH,KHUSHWANT,TREN A PAKISTÁN,NOVELA,DRAMA,,L-B1,12-SIN-TRE,LIBROS DEL ASTEROIDE,True,Sala de Estar
SINKIEWICZ,HENRYK,UN HÉROE POLACO,NOVELA,HISTÓRICA,●,L-A1,12-SIE-HER,CIUDADELA,True,Sala de Estar
SINOVA,JUSTINO,UN SIGLO EN 100 ARTÍCULOS,ENSAYO,POLÍTICA,,L-A2,17-SIN-SIG,ESFERA DE LOS LIBROS,True,Pequeños
SMITH,BETTY,MAÑANA PUEDE SER UN GRAN DÍA,NOVELA,DRAMA,●,—,12-SMI-MAÑ,LUMEN,True,Sala de Estar
SMITH,TOM ROB,LA GRANJA,NOVELA,NEGRA,,L-B1,22-SMI-GRA,SALAMANDRA,True,Primera Planta
SMULLYAN,RAYMOND,¿CÓMO SE LLAMA ESTE LIBRO?,ENSAYO,PEDAGOGÍA/CIENCIA,,—,19-SMU-COM,CÁTEDRA,True,Pequeños
SOCÍAS,IGNACIO,SIN MIEDO A LA VERDAD,ENSAYO,FILOSOFÍA,,L-A1,13-SOC-SIN,PALABRA,True,Pequeños
SÓFOCLES,—,TRAGEDIAS,TEATRO,—,●,L-A2,12-SOF-TRA,GREDOS,True,Sala de Estar
SÓFOCLES,,ANTÍGONA,ENSAYO,FILOSOFÍA,●,L-A1,11-SOF-ANT,LABOR,True,Pequeños
SÓFOCLES,,EDIPO REY,ENSAYO,FILOSOFÍA,●,L-A1,11-SOF-ANT,LABOR,True,Pequeños
SÓFOCLES,,ELECTRA,ENSAYO,FILOSOFÍA,●,L-A1,11-SOF-ANT,LABOR,True,Pequeños
SOLÉ,MANUEL,LA SÁBANA SANTA DE TURÍN,ENSAYO,HISTORIA,,P-A1,16-SOL-SAB,MENSAJERO,True,Pequeños
SOLER,J.,LA FIESTA DEL OSO,NOVELA,DRAMA,●,L-B1,04-SOL-FIE,MONDADORI,True,Pequeños
